,,,,,,,,,,,,,,,,,,,,,,,,
thread,1,,,,,,,,,,,,,,,,,,,,,,,
problem size ,128,512,2048,,,,,,,,,,,,,,,,,,,,,
Runtime(RDTSC) s,0.000261,0.005785,0.334085,,,,,,,,,,,,,,,,,,,,,
RETIRED_INSTRUCTIONS,1125708,63893140,4041862000,,,,,,,,,,,,,,,,,,,,,
 L2 accesses ,90989,6354403,356353264,,,,,,,,,,,,,,,,,,,,,
L3_CACHE_REQ,20421,809286,55358470,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
basic,,,,,,,,,,,,,,,,,,,,,,,,
thread,128,,,,512,,,,2048,,,,,,,,,,,,,,,
problem size ,1,4,16,64,1,4,16,64,1,4,16,64,,,,,,,,,,,,
Runtime(RDTSC),0.002494,0.0008,0.0002,0.0002,0.81889,0.2137,0.0682,0.0265,151.0214,39.1062,10.5811,2.8439,,,,,,,,,,,,
,,3.1175,12.47,12.47,,3.831960693,12.00718475,30.90150943,,3.861827536,14.27275047,53.1036253,,,,,,,,,,,,
RETIRED_INSTRUCTIONS,10918100,9.698873953,,,677912100,10.6100921,,,43058780000,10.65320389,,,,,,,,,,,,,,
 L2 accesses ,4377556,48.11082658,,,293050173,46.11765621,,,52789694300,148.138658,,,,,,,,,,,,,,
L3_CACHE_REQ,20189,0.988639146,,,236955000,292.7951305,,,31679410000,572.2594934,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
blocked,,,,,,,,,,,,,,,,,,,,,,,,
problem size ,128,,,,,,,,512,,,,,,,,2048,,,,,,,
block size,4,,,,16,,,,4,,,,16,,,,4,,,,16,,,
threads,1,4,16,64,1,4,16,64,1,4,16,64,1,4,16,64,1,4,16,64,1,4,16,64
Runtime(RDTSC),0.001719,0.0005,0.0002,0.0003,0.00091,0.0003,0.0001,0.0001,0.118283,0.0298,0.0092,0.0038,0.058418,0.015,0.0044,0.0018,8.528269,2.0333,0.5699,0.1706,3.946055,0.9681,0.2774,0.0773
,,3.438,8.595,5.73,,3.033333333,9.1,9.1,,3.969228188,12.85684783,31.12710526,,3.894533333,13.27681818,32.45444444,,4.194299415,14.96450079,49.98985346,,4.076082016,14.2251442,51.04857697
RETIRED_INSTRUCTIONS,27582390,24.50225991,,,13341680,11.85181237,,,1751423000,27.41175344,,,849035200,13.28836241,,,111875200000,27.67912413,,,54266600000,13.42613874,,
 L2 accesses ,420596,4.622492829,,,79302,0.8715559024,,,27836080,4.380597202,,,9317240,1.466265202,,,2917835280,8.188041404,,,612674690,1.719290243,,
L3_CACHE_REQ,16445,0.8052984673,,,18326,0.8974095294,,,14727850,18.19857257,,,3036977,3.752662223,,,1088636000,19.66521112,,,229075300,4.138035246,,
